Id,MSSubClass,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,Condition2,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofMatl,MasVnrType,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SalePrice,SalePrice_log,GrLivArea_log,TotalBsmtSF_log,LotArea_log,1stFlrSF_scaled,GarageArea_scaled,HouseAge,RemodAge,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,Foundation_CBlock,Foundation_PConc,Foundation_Stone,Foundation_Wood,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageFinish_RFn,GarageFinish_Unf,CentralAir_Y,TotalSF,OverallQual_GrLivArea,BathPerRoom,GarageQuality,FireplacesPerSF,FrontageRatio
1,60,65.0,8450,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,7,5,2003,2003,CompShg,BrkFace,196.0,3.0,TA,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,4.0,SBrkr,856,854,0,1710,1,0,2,1,3,1,3.0,8,Typ,0,,2003.0,2,548,TA,TA,Y,0,61,0,0,0,0,,,,0,2,2008,208500,12.24769911637256,7.444833273892193,6.75343791859778,9.042040056544483,-0.8634039782749271,0.4811449340947291,5,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,2566,11970,0.3333333333333333,0.32028053769725306,0.0,0.007691397467755295
2,20,80.0,9600,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Feedr,Norm,6,8,1976,1976,CompShg,,0.0,2.0,TA,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,GasA,4.0,SBrkr,1262,0,0,1262,0,1,2,0,3,1,2.0,6,Typ,1,TA,1976.0,2,460,TA,TA,Y,298,0,0,0,0,0,,,,0,5,2007,181500,12.109016442313738,7.141245122350491,7.141245122350491,9.169622538697624,0.47249893577472796,0.02584802490045409,31,31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,2524,7572,0.2857142857142857,0.3642121931908155,0.00039603960396039607,0.008332465368190814
3,60,68.0,11250,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,7,5,2001,2002,CompShg,BrkFace,162.0,3.0,TA,Gd,TA,Mn,GLQ,486,Unf,0,434,920,GasA,4.0,SBrkr,920,866,0,1786,1,0,2,1,3,1,3.0,6,Typ,1,TA,2001.0,2,608,TA,TA,Y,0,42,0,0,0,0,,,,0,9,2008,223500,12.317171167298682,7.488293515159428,6.825460036255307,9.328212292571072,-0.6528182972424692,0.7915746449090075,7,6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,2706,12502,0.42857142857142855,0.34023503077783995,0.0003694126339120798,0.006043907208248156
4,70,60.0,9550,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,7,5,1915,1970,CompShg,,0.0,2.0,TA,TA,Gd,No,ALQ,216,Unf,0,540,756,GasA,3.0,SBrkr,961,756,0,1717,1,0,1,0,3,1,3.0,7,Typ,1,Gd,1998.0,3,642,TA,TA,Y,0,35,272,0,0,0,,,,0,2,2006,140000,11.849404844423074,7.4489161025442,6.6293632534374485,9.164401140034737,-0.5179118453310508,0.967484814370432,91,36,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,2473,12019,0.125,0.37369033760186265,0.0004042037186742118,0.0062820647052664646
5,60,84.0,14260,Pave,,IR1,Lvl,AllPub,FR2,Gtl,Norm,Norm,8,5,2000,2000,CompShg,BrkFace,350.0,3.0,TA,Gd,TA,Av,GLQ,655,Unf,0,490,1145,GasA,4.0,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,3.0,9,Typ,1,TA,2000.0,3,836,TA,TA,Y,192,84,0,0,0,0,,,,0,12,2008,250000,12.429220196836383,7.695757990554761,7.044032897274685,9.565283817736766,0.08752198763726579,1.9712075460032656,8,8,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,3343,17584,0.3,0.38017280582082763,0.0002990430622009569,0.005890190028749737
6,50,85.0,14115,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,5,5,1993,1995,CompShg,,0.0,2.0,TA,Gd,TA,No,GLQ,732,Unf,0,64,796,GasA,4.0,SBrkr,796,566,0,1362,1,0,1,1,1,1,2.0,5,Typ,0,,1993.0,2,480,TA,TA,Y,40,30,0,320,0,0,,MnPrv,Shed,700,10,2009,143000,11.870606902224587,7.217443431696533,6.680854678790215,9.55506418479516,-1.0608280542428565,0.12932459517188022,16,14,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,2158,6810,0.3333333333333333,0.3521643433602348,0.0,0.0060215358458486825
7,20,75.0,10084,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,8,5,2004,2005,CompShg,Stone,186.0,3.0,TA,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,GasA,4.0,SBrkr,1694,0,0,1694,1,0,2,0,3,1,3.0,7,Typ,1,Gd,2004.0,2,636,TA,TA,Y,255,57,0,0,0,0,,,,0,8,2007,307000,12.634606283893019,7.43543801981455,7.430707082545968,9.218804450388312,1.893952282743819,0.9364418432890041,3,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,3380,13552,0.25,0.3752212389380531,0.0002957704821058858,0.0074367873078829945
8,60,80.725,10382,Pave,,IR1,Lvl,AllPub,Corner,Gtl,PosN,Norm,7,6,1973,1973,CompShg,Stone,240.0,2.0,TA,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,GasA,4.0,SBrkr,1107,983,0,2090,1,0,2,1,3,1,2.0,7,Typ,2,TA,1973.0,2,484,TA,TA,Y,235,204,228,0,0,0,,,Shed,350,11,2009,200000,12.206077645517674,7.645397699428633,7.010311867307229,9.247925132303454,-0.037513260475756115,0.15001990922616545,36,36,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,3197,14630,0.375,0.23146819703491153,0.0006253908692933083,0.007774727920639506
9,50,51.0,6120,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Artery,Norm,7,5,1931,1950,CompShg,,0.0,2.0,TA,TA,TA,No,Unf,0,Unf,0,952,952,GasA,3.0,FuseF,1022,752,0,1774,0,0,2,0,2,2,2.0,8,Min1,2,TA,1931.0,2,468,Fa,TA,Y,90,0,205,0,0,0,,,,0,4,2008,129900,11.774527900858468,7.4815557019095165,6.859614903654202,8.71948076085107,-0.31719736809698934,0.06723865300902454,77,58,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,2726,12418,0.2222222222222222,0.26366197183098594,0.0007334066740007334,0.008331971900016338
10,190,50.0,7420,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Artery,Artery,5,6,1939,1950,CompShg,,0.0,2.0,TA,TA,TA,No,GLQ,851,Unf,0,140,991,GasA,4.0,SBrkr,1077,0,0,1077,1,0,1,0,2,2,2.0,5,Typ,2,TA,1939.0,1,205,Gd,TA,Y,0,4,0,0,0,0,,,,0,1,2008,118000,11.678448377988165,6.982862751468942,6.899723107284872,8.912069097970134,-0.13622529845972078,-1.2934782460602292,69,58,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,2068,5385,0.16666666666666666,0.1901669758812616,0.0009666505558240696,0.006737636437137852
